Month,Cluster Location,Organization,Logical Data Protected (GB),Data Reduction (%),Logical Data Reduction (%),Total Local Storage (GB),Total Replica Storage (GB),Total Archive Storage (GB),Local Storage Growth (MB/day),Replica Storage Growth (MB/day),Archive Storage Growth (MB/day)
2018-03,Local,ERP,0,0,0,0,0,0,0,0,0
2018-09,Local,ACCD,13142.6,44.35,92.03,1046.9,1044.2,0,1046907.9,1044225,0
2018-10,Local,ACCD,23976.7,47.03,94.89,1224.1,1199.3,0,177230.8,155100.2,0
2018-07,Local,ADS,79371,38.27,95.6,3489.6,3532.5,0,3489588.1,3532463.9,0
2018-08,Local,ADS,183709.7,56.54,96.51,6404.3,6054.3,0,2886028.1,2498682.3,0
2018-09,Local,ADS,191246.3,57.05,96.42,6841.5,6833.4,0,437230,779131.6,0
2018-10,Local,ADS,182171.3,57.57,95.77,7698,7567.9,0,856486.9,734480.2,0
2018-07,Local,AGO,38282.1,26.68,82.42,6730.2,6530.3,0,6730250,6530343.5,0
2018-08,Local,AGO,144227.1,29.49,95.15,6998.3,6876.3,0,268006.8,345994,0
2018-09,Local,AGO,144173.5,29.36,95.07,7103.7,7001,0,105482.7,124706,0
2018-04,Local,ERP,41270.3,80.94,97.94,849.5,835.2,0,849522.6,835183.6,0
2018-10,Local,AGO,132401,27.99,93.67,8379.7,8310.9,0,1275916.1,1309818,0
2018-08,Local,AGR,28370,59.86,95.99,1136.3,1113.5,0,1136337.6,1113481.2,0
2018-10,Local,AGR,28089.7,59.74,95.81,1177,1170.3,0,-4208,8821.3,0
2018-09,Local,AGR,30012.8,59.75,96.06,1181.2,1161.5,0,44847,48025.1,0
2018-09,Local,ANR,95219.4,61.65,93.66,6036,5767.8,0,6023674.6,5752802.6,0
2018-05,Local,ERP,46095.7,64.04,96.35,1680.7,1666.4,0,831155.7,831199.5,0
2018-06,Local,ERP,97635.3,83.73,98.24,1716.2,1648,0,35480.8,-18419.7,0
2018-10,Local,ANR,105052.8,38.54,93.97,6334.2,6500,0,298185,732253.7,0
2018-07,Local,DPS,337767.1,50.27,94.9,17243,16994.1,0,122070.6,-295055.8,0
2018-08,Local,DPS,362056.8,39.64,95.22,17300.1,17276.4,0,57079.7,282348.3,0
2018-10,Local,DPS,342892.6,41.68,94.83,17723.8,17749.8,0,-117561.4,-108989,0
2018-09,Local,DPS,358137.6,42.21,95.02,17841.4,17858.8,0,541332.9,582368.1,0
2018-07,Local,E911,4080.2,46.26,88.93,451.7,449.6,0,451710.9,449597.6,0
2018-08,Local,E911,13153.3,46.11,95.84,547.6,619.6,0,95882.6,170024.3,0
2018-09,Local,E911,14441.8,47.31,96.13,558.6,636.4,0,11038.1,16737.3,0
2018-10,Local,E911,12842,47.45,95.62,562,609.9,0,3325,-26482.6,0
2018-08,Local,EDU,54413.4,68.88,94.76,2852.7,2853.9,0,2852671.2,2853869.9,0
2018-09,Local,EDU,174222.1,72.52,98.05,3398.2,3382.7,0,543128.7,526455.2,0
2018-10,Local,EDU,162299.2,72.42,97.88,3437.9,3465.4,0,39706.6,66880.9,0
2018-07,Local,ERP,155860.1,60.07,95.46,7081.2,6537.2,0,5365037.2,4889230.5,0
2018-10,Local,ERP,242811.7,48.89,94.69,12891.9,12843.4,0,-975135.5,-883604.1,0
2018-08,Local,ERP,206053.2,47,93.46,13479.2,12634,0,6396243.5,6076372.8,0
2018-09,Local,ERP,237436.5,44.57,94.23,13688.3,13628.6,0,198316.5,976705.5,0
2018-07,Local,Global,1027623.3,57.55,95.64,44787.9,43972.4,0,22683755.2,21732758.3,0
2018-08,Local,Global,1676986,60.15,96.16,64387.1,64070.4,0,19455434.3,20018626.4,0
2018-09,Local,Global,2134460.1,60.71,96.52,74186.8,73751.4,0,9626863.8,9530492.1,0
2018-10,Local,Global,2033596.5,59.07,96.29,75481.1,75338.2,0,1114716.4,1471667,0
2018-09,Remote,Global,2539368.6,44.58,95.31,119014.1,0,0,-21424101.3,0,0
2018-10,Remote,Global,2665485.2,44.34,95.12,130158.9,0,0,11144893.1,0,0
2018-08,Remote,Global,3744089.4,50.68,96.25,140438.2,0,0,-2811878.5,0,0
2018-07,Remote,Global,3724995.6,49.46,96.15,143250,0,0,80068.2,0,0
2018-03,Local,DPS,253140.2,59.97,93.36,16805.2,16793.8,0,40373.1,-30764.3,0
2018-05,Local,DPS,337381.2,40.73,94.95,17034.5,17075.5,0,-114406.9,-44512.9,0
2018-06,Local,DPS,341926.6,40.62,94.99,17120.9,17289.1,0,86396.9,213625,0
2018-04,Local,DPS,339411.8,41.18,94.95,17148.9,17120,0,343711,326197.8,0
2018-07,Local,JUD,65337.2,97.69,99.84,105.6,109.1,0,86694.6,73831.1,0
2018-08,Local,JUD,187294.4,84.95,97.69,4323,3989.5,0,4123265.4,3865111.1,0
2018-10,Local,JUD,445899.7,85.05,98.72,5713,5707.8,0,-90807.4,-107609.2,0
2018-09,Local,JUD,464322.3,84.96,98.75,5803.8,5815.4,0,1420932.5,1804882,0
2018-03,Local,Global,352261.5,62.14,94.51,19333,19385.7,0,-110686.8,-137410.6,0
2018-04,Local,Global,490425.5,52.14,95.79,20650.5,20603,0,1317513.1,1217275.6,0
2018-05,Local,Global,512613.1,51.84,95.72,21930.7,21882.5,0,1280218.4,1279507.4,0
2018-06,Local,Global,624820.8,60.32,96.47,22060.9,22163.2,0,130173.7,280721,0
2018-07,Local,VCGI,45038.5,21.7,88.63,5121.1,5126.4,0,5121144.7,5126408.7,0
2018-08,Local,VCGI,99791,21.95,94.42,5565.1,6872.2,0,443937.8,1745769.4,0
2018-09,Local,VCGI,100713.1,21.29,94.27,5770,5769.1,0,204940.6,-1103066.3,0
2018-10,Local,VCGI,94515.3,20.77,93.72,5936.4,5907.3,0,166423.7,138211.7,0
2018-07,Local,VDOL,27541.5,98.86,99.81,51.9,50.1,0,28207.1,9201.9,0
2018-08,Local,VDOL,72842.6,95.38,99.63,271.2,285.9,0,202282.8,217956.1,0
2018-03,Remote,Global,2274672.5,46.08,94.23,131284.1,0,0,21703720.3,0,0
2018-04,Remote,Global,2052470.5,46.16,93.45,134470.3,0,0,3186176.8,0,0
2018-05,Remote,Global,2111623.5,45.77,93.48,137631.5,0,0,3161194.1,0,0
2018-10,Local,VDOL,113730.7,95.04,99.51,553.6,570.5,0,-61394.1,-19112.9,0
2018-06,Remote,Global,3656242.3,46.87,96.08,143170,0,0,5538507.3,0,0
2018-09,Local,VDOL,124558.3,94.49,99.51,615,589.7,0,257817.8,211057.3,0
